Corpus,Inclusion,Reason of exclusion,Number of participants,Language,Neighbour/village/city/province/state/country,"Recording method (static, portable, both, diary, other) ",Presence of investigator (yes/no/parent is investigator/half half),Specific tasks (or toy if only toy mentioned),# of children with siblings,# of children with older siblings,Average number of older siblings,Average number of siblings,Mean child age at beginning of recordings,Mean child age at end of recordings,Mean # sessions per child,Range # sessions per child,Mean Duration of sessions,Range Duration of sessions,CDS annotation (yes/no),English translation: yes/no,Morphological annotation (yes/no),Fertility rate of community,Interbirth intervals,Access to schooling for children (yes/no/only elementary) ,Type of community (hunter/forager/herder/farmer/work-for-pay/industrial),Access to health for children  (yes/no),"Type of culture (minority, majority)",Bilingualism in corpus (yes/ no),Mortality rate of children in the community,Number of speakers of the language,"Household structure (nuclear, extended)","Where children spend their time (home, nursery, playing by the river...)",Only directed to child transcribed (i.e. speech between adults not transcribed): yes/no,Correction of speech errors (i.e. syntactic)/ transcriptions not exactly matching speech : yes/no,Parental education,Parental socioeconomic status,Parental profession,"Place of recordings: (home, nursery...)",Comments,Who checked column,category on CHILDES
Serra & Sole,yes,,9,catalan,spain,static,NA,no,NA,NA,NA,NA,0.9788888889,3.666666667,18.88888889,7-31,NA,30-45,no,no,no,NA,NA,NA,NA,NA,NA,yes,NA,NA,nuclear,NA,NA,NA,NA,middle class,NA,home,cs,no publication - details mixed with information from other corpora (1 spanish child)
Antelmi,no,recording type not precised,1,italian,,,,,,,,,2;2,3;4,,,,,,,,,,,,,,,,,,,,,,,,,,
Calambrone,yes,,6,italian,italy,static,yes,NA,NA,3,1,NA,1.583333333,2.951666667,27.33333333,13-43,NA,30-45,NA,no,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,yes,NA,middle and high,NA,home,cs,details mixed with SLI cohort
D'Odorico,yes?,,6,italian,northern italy,static,yes,"Mothers were instructed to play normally with the children, trying to attract the child’s attention on each set of toys",NA,2,1,NA,1;07,2;01,NA,NA,30,30,NA,no,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,yes,NA,NA,NA,NA,lab,cs,"video-recordings at lab, information from papers is mixed with other children"
Klammler,yes,,1,italian,Naples,NA; audiorecording,yes,toyplay,NA,NA,NA,NA,1;08,2;01,6,6,NA,NA,NA,no,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cs,"audiorecordings, no paper mentioned, description shared with bilingual corpus"
Roma,yes,,1,italian,Roma,NA; audiorecording,yes,no,1,0,0,1,1;4,4,NA,NA,120,120,no,no,no,NA,NA,yes,industrial,NA,majority,no,NA,NA,nuclear,home; nursery,NA,NA,yes,middle class,mother bioquemist,home,cs,"audiorecordings, problem they mention recordings up to 4yo but only 6 available on childes"
Tonelli,yes?,,1,italian,northest italy; Udine,NA probably audio,no,no,NA,0,0,NA,1;05,2;05,28,28,45,45,NA,no,yes,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,yes,NA,NA,upper middle class,NA,NA,cs,probably audio recordings cited papers in Italian; description of only 1 child BUT 3 described in the browser
vanOosten,no,picture book description,6,italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AlegreLong,no but see comment,three elicitation tasks that were designed to provide a representative sampling of the child’s linguistic capabilities,7,Brazilian Portuguese,"Porto alegre, Rio Grande do Sul; Brasil",,,,,,,,,,,,,,,,,,,yes,industrial,NA,majority?,NA,NA,NA,,,,,,,,school the child was attending or in the home,,Free conversation between children (dyads)
AlegreX,no but see comment,three elicitation tasks that were designed to provide a representative sampling of the child’s linguistic capabilities,100,Brazilian Portuguese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Free conversation between children (dyads)
Batoreo,no,children and adults elicited narratives describing two picture book stories,60,European portuguese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCF,yes,,5,European portuguese,Portugal,NA; video recording mention but only audio available,yes,no,NA,NA,NA,NA,0;11,2.8,27,12-38,42.36,29.4-48.6,NA,no,no,NA,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,yes,no,NA,NA,NA,home,cs,
Florianopolis,yes,,1,Brazilian Portuguese,Sao Paulo,NA; audiorecording,yes,NA,NA,NA,NA,NA,1;08,2;2,340,300-360,NA,NA,NA,no,yes,NA,NA,yes,industrial,NA,majority?,no,NA,NA,nuclear,NA,no,NA,NA,upper-middle class,"fahter linguist professor, mother psychologist",NA,CS,"no publication, "
Freitas,no but see comment,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404 not found
MCF,no,already in bilingual done by Clara,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santos,yes,,3,European portuguese,Portugal,NA; videorecordings,yes,NA,NA,NA,NA,NA,1;58,3,22.33333333,16-30,NA,45-55,yes,no,yes,NA,NA,NA,NA,NA,majority?,no,NA,NA,NA,NA,no,NA,NA,NA,NA,home,cs,video recordings but audio only used
