Country,ISO Code,Data source category,Reference date (dd/mm/yyyy),year,Average household size (number of members),Households by size 1 member,"
Households by size 2-3 members",Households by size 4-5 members,Households by size 6 or more members,Average number of household members of selected ages Under age 15 years among all households,One-person,Couple only,Couple with children,Single parent with children,Single mother with children,Single father with children,Extended family,Non-relatives,Unknown,Nuclear,Multi-generation,Three generation,Skip generation
Bolivia (Plurinational State of),68,IPUMS,7-Jan-1976,1976,4.35,11.7,29.34,29.43,29.53,1.83,11.7,5.9,36.22,12.34,9.58,2.76,24.58,9.27,0.0,54.46,21.95,11.31,2.18
Bolivia (Plurinational State of),68,IPUMS,7-Jan-1992,1992,4.35,11.65,28.4,30.82,29.14,1.82,11.65,5.54,37.94,15.22,11.35,3.87,18.85,10.36,0.43,58.71,NA,NA,NA
Bolivia (Plurinational State of),68,DHS,3-Jan-1994,1994,4.52,8.23,27.06,34.31,30.39,1.94,8.23,6.3,46.93,10.37,8.16,2.21,22.93,5.18,0.06,63.6,24.97,12.79,2.4
Bolivia (Plurinational State of),68,DHS,14/06/1998,1998,4.36,10.01,28.57,32.69,28.73,1.75,10.01,7.33,46.86,9.82,7.63,2.19,20.57,5.4,0.01,64.01,25.12,12.44,2.19
Bolivia (Plurinational State of),68,MICS,7-Jan-2000,2000,4.44,6.84,27.75,38.03,27.38,1.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolivia (Plurinational State of),68,DYB,7-Jan-2001,2001,4.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolivia (Plurinational State of),68,IPUMS,7-Jan-2001,2001,4.09,15.2,29.88,29.74,25.18,1.6,15.2,5.01,31.42,15.43,12.06,3.37,25.11,7.84,0.0,51.85,NA,NA,NA
Bolivia (Plurinational State of),68,DHS,27/10/2003,2003,4.23,12.12,28.61,32.43,26.84,1.7,12.12,7.03,45.64,10.35,8.09,2.26,22.84,1.93,0.09,63.02,21.62,9.99,2.04
Bolivia (Plurinational State of),68,DHS,17/04/2008,2008,3.94,12.76,32.67,33.17,21.39,1.52,12.76,8.13,43.08,11.67,9.09,2.57,22.73,1.63,0.0,62.88,24.93,12.56,2.57
Bolivia (Plurinational State of),68,DYB,7-Jan-2012,2012,3.53,20.34,34.82,27.64,17.2,NA,20.48,5.5,25.37,16.66,NA,NA,NA,NA,31.98,47.54,NA,NA,NA
Bosnia and Herzegovina,70,MICS,7-Jan-2000,2000,3.37,11.14,41.54,39.1,8.22,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,70,MICS,7-Jan-2006,2006,3.14,17.06,42.36,32.39,8.18,0.57,17.06,18.11,37.61,6.95,6.02,0.93,19.91,0.35,0.0,62.67,40.05,14.34,0.33
Bosnia and Herzegovina,70,MICS,7-Jan-2011,2011,3.5,11.5,37.07,41.57,9.86,0.66,11.5,11.78,47,6.27,5.39,0.87,22.99,0.35,0.12,65.05,48.16,18.34,0.3
Botswana,72,IPUMS,7-Jan-1981,1981,5.61,10.83,22.13,21.71,45.33,2.57,10.83,2.3,10.92,6.27,4.55,1.72,51.03,18.63,0.02,19.49,29.62,23.82,4.79
Botswana,72,IPUMS,7-Jan-1991,1991,4.73,18.04,26.14,21.17,34.65,2.07,18.04,3.59,8.74,8.89,7.28,1.61,NA,NA,NA,21.22,22.81,19.37,6
Botswana,72,MICS,7-Jan-2000,2000,4.31,19.81,28.38,22.55,29.26,1.65,19.81,4.32,10.64,10.38,8.51,1.87,46.58,8.24,0.02,25.34,29.21,20.87,5.7
Botswana,72,DYB,7-Jan-2001,2001,4.15,23.36,28.8,20.81,27.03,NA,23.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Botswana,72,IPUMS,7-Jan-2001,2001,4.11,23.28,28.83,20.85,27.04,1.52,23.28,5.21,9.21,8.7,7.09,1.61,43.74,9.87,0.0,23.12,25.43,18.79,4.68
Botswana,72,DYB,7-Jan-2011,2011,NA,27.76,32.05,20.83,19.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Botswana,72,IPUMS,7-Jan-2011,2011,3.52,27.89,32.32,20.48,19.31,1.17,27.89,6.04,10.32,9.34,7.87,1.48,38.53,7.88,0.01,25.7,23.9,16.11,4.21
Brazil,76,IPUMS,7-Jan-1960,1960,5.13,4.85,26.54,29.75,38.87,2.21,4.85,8.01,52.91,6.18,4.69,1.49,18.54,9.5,0.01,67.1,26.13,8.55,0.97
Brazil,76,IPUMS,7-Jan-1970,1970,5.1,5.21,26.96,29.88,37.95,2.14,5.21,8.12,52.29,6.56,5.42,1.14,18.43,9.38,0.01,66.97,NA,NA,NA
Brazil,76,IPUMS,7-Jan-1980,1980,4.65,6.13,30.78,32.36,30.73,1.79,6.13,9.25,52.57,6.89,5.9,1,18.68,6.48,0.0,68.72,NA,NA,NA
Brazil,76,IPUMS,7-Jan-1991,1991,4.19,6.67,34.3,37.3,21.74,1.46,6.67,9.55,51.12,8.11,7.12,1,19.79,4.76,0.0,68.78,27.49,10.43,1.29
Brazil,76,DHS,11-Aug-1991,1991,4.75,6.81,27.74,31.8,33.65,1.86,6.81,7.18,45.83,8.28,7.35,0.92,24.28,7.61,0.02,61.28,31.53,15.24,2.88
Brazil,76,DHS,5-Feb-1996,1996,4.09,6.11,34.53,40.48,18.89,1.3,6.11,8.73,49.62,8.98,7.67,1.3,21.76,4.73,0.07,67.33,30.44,12.26,1.78
Brazil,76,DYB,7-Jan-2000,2000,3.76,8.86,39.49,37.22,14.43,NA,8.86,10.65,48.15,10.17,NA,NA,NA,NA,22.16,68.98,NA,NA,NA
Brazil,76,IPUMS,7-Jan-2000,2000,3.76,8.93,39.49,37.15,14.43,1.12,8.93,10.62,47.74,10.08,8.9,1.18,20.14,2.5,0.0,68.44,28.62,10.9,1.58
Brazil,76,IPUMS,7-Jan-2010,2010,3.31,12,47.27,31.91,8.82,0.8,12,13.9,40.41,10.47,9.14,1.33,20.86,2.35,0.0,64.79,30.88,10.22,1.95
Brunei Darussalam,96,DYB,7-Jan-2011,2011,NA,7.22,19.82,28.98,43.98,NA,7.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,100,DYB,7-Jan-2001,2001,2.69,22.69,50,23.77,3.54,NA,22.69,21.02,31.09,6.52,NA,NA,NA,NA,18.68,58.64,NA,NA,NA
Bulgaria,100,LFS,7-Jan-2001,2001,2.81,19.52,50.6,25.21,4.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bulgaria,100,DYB,7-Jan-2011,2011,NA,30.79,48.59,17.8,2.83,NA,30.79,19.94,25.04,6.98,NA,NA,NA,NA,17.25,51.96,NA,NA,NA
Bulgaria,100,LFS,7-Jan-2011,2011,2.34,30.53,50.97,16.62,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burkina Faso,854,IPUMS,7-Jan-1985,1985,6.23,5.72,22.95,22.69,48.64,2.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burkina Faso,854,DHS,2-Apr-1993,1993,6.66,5.03,19.95,21.79,53.23,3.25,5.03,7.02,28.75,2.57,1.71,0.86,51.97,4.66,0.0,38.34,24.92,17.01,2.19
Burkina Faso,854,IPUMS,7-Jan-1996,1996,6.55,4.32,21.35,22.73,51.61,3.04,4.32,6.78,28.81,3.39,2.49,0.90,49.18,1.59,5.93,38.98,NA,NA,NA
Burkina Faso,854,DHS,14/01/1999,1999,6.73,4.39,18.37,22.82,54.41,3.35,4.39,5.27,29.6,2.58,1.77,0.81,52.6,5.3,0.26,37.45,24.33,17.75,2.16
Burkina Faso,854,DHS,9-Sep-2003,2003,6.49,6.15,19.93,22.86,51.07,3.08,6.15,5.13,32.35,4.11,3.37,0.74,45.69,6.48,0.1,41.59,24.86,15.62,1.93
Burkina Faso,854,DYB,7-Jan-2006,2006,5.94,5.48,23.8,24.91,45.81,NA,5.48,6.52,41.32,4.85,NA,NA,NA,NA,41.82,52.7,NA,NA,NA
Burkina Faso,854,IPUMS,7-Jan-2006,2006,5.93,5.53,23.91,24.9,45.66,2.74,5.53,6.31,30.65,4.9,3.91,0.99,42.64,5.6,4.37,41.87,NA,NA,NA
Burkina Faso,854,MICS,7-Jan-2006,2006,6.71,4.99,15.87,24.54,54.61,3.13,4.99,2.83,33.85,3.58,2.89,0.7,48.7,6.04,0.01,40.26,30.2,18.32,1.56
Burkina Faso,854,DHS,9-Sep-2010,2010,5.67,6.33,21.98,27.62,44.07,2.77,6.33,5.3,39,5.67,4.31,1.36,39.4,4.28,0.04,49.96,20.92,13.56,2.2
Burkina Faso,854,DHS,10-Jan-2014,2014,5.92,6.64,19.51,27.4,46.46,2.86,6.64,4.64,36.28,4.27,3.48,0.79,43.37,4.77,0.03,45.18,24.81,17.32,3.14
Burundi,108,MICS,7-Jan-2000,2000,5.25,3.32,23.22,30.54,42.93,2.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burundi,108,MICS,7-Jan-2005,2005,4.96,3.53,26.01,32.12,38.34,2.39,3.53,5.42,57.49,12.78,11.22,1.56,17.06,3.7,0.02,75.69,17.52,6.75,3.77
Burundi,108,DYB,7-Jan-2008,2008,4.26,6.41,27.71,30.87,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burundi,108,DHS,15/11/2010,2010,4.78,5.77,27.32,31.65,35.26,2.23,5.77,4.33,48.18,14.09,12.82,1.27,20.97,6.63,0.03,66.6,18.85,7.9,3.77
Burundi,108,DHS,15/12/2012,2012,4.73,6.19,27.45,31.29,35.06,2.27,6.19,4.27,51.67,13.12,11.79,1.33,18.76,5.85,0.14,69.06,16.4,7.32,4.51
Burundi,108,DHS,22/12/2016,2016,4.83,6.04,25.17,31.72,37.07,2.33,6.04,3.07,47.67,14.76,13.51,1.25,20.61,7.85,0.0,65.5,19.51,8.9,4.12
Cambodia,116,IPUMS,7-Jan-1998,1998,5.17,2.57,22.52,33.89,41.02,2.24,2.57,3.8,49.99,12.17,10.83,1.34,29.83,1.62,0.0,65.97,25.31,12.54,1.65
Cambodia,116,DHS,16/04/2000,2000,5.37,1.87,18.06,35.59,44.48,2.26,1.87,2.3,53.66,9.32,8.36,0.97,31.38,1.36,0.12,65.28,36.79,19.64,1.77
Cambodia,116,IPUMS,7-Jan-2004,2004,4.88,2.72,25.13,36.59,35.56,1.88,2.72,4.16,49.9,11.74,10.47,1.27,30.32,1.15,0.0,65.81,36.21,17.53,2.2
Cambodia,116,DHS,12-Jul-2005,2005,4.96,2.95,22.1,38.56,36.39,1.87,2.95,3.55,49.88,8.28,7.18,1.11,33.45,1.83,0.06,61.71,38.71,21.57,2.72
Cambodia,116,DYB,7-Jan-2008,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cambodia,116,IPUMS,7-Jan-2008,2008,4.68,3.55,26.81,38.86,30.78,1.6,3.55,4.67,50.91,10.08,8.71,1.38,29.32,1.46,0.0,65.67,34.71,15.42,2.14
Cambodia,116,DHS,21/10/2010,2010,4.75,2.83,24.01,42.28,30.88,1.59,2.83,3.74,48.2,7.3,6.21,1.1,36.39,1.52,0.01,59.24,41.92,23.54,3.23
Cambodia,116,IPUMS,7-Jan-2013,2013,4.64,2.71,25.43,43.12,28.74,1.37,2.71,4.65,52.54,8.15,7.27,0.87,31.42,0.53,0.0,65.34,46.23,20.01,2.2
Cambodia,116,DHS,9-Jan-2014,2014,4.61,3.37,25.65,43.08,27.9,1.53,3.37,4.84,45.13,6,4.93,1.07,39.55,1.1,0.0,55.98,42.36,26.18,4.17
Cameroon,120,IPUMS,7-Jan-1976,1976,5.07,13.18,28.27,22.32,36.22,2.21,13.18,9.17,21.85,4.86,3.61,1.25,40.57,10.08,0.28,35.88,NA,NA,NA
Cameroon,120,IPUMS,7-Jan-1987,1987,5.14,14.34,25.87,21.7,38.09,2.38,14.34,6.95,22.01,5.89,4.5,1.39,42.42,8.39,0.0,34.85,NA,NA,NA
Cameroon,120,DHS,7-Oct-1991,1991,5.61,14.19,20.62,20.68,44.52,2.65,14.19,5.45,22,3.99,2.99,1,41.7,12.65,0.03,31.44,23.64,16.84,3.07
Cameroon,120,DHS,20/04/1998,1998,5.5,12.7,22.88,21.62,42.8,2.48,12.7,5.68,21.72,5.25,4.13,1.12,47.47,7.11,0.07,32.65,26.79,18.06,3.52
Cameroon,120,MICS,7-Jan-2000,2000,5.79,10.12,20.25,23.48,46.15,2.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameroon,120,DHS,6-Jun-2004,2004,4.79,17.6,24.81,22.36,35.23,2.12,17.6,5.49,22.14,7.22,5.43,1.79,43.75,3.71,0.1,34.84,21.31,14.46,3.87
Cameroon,120,IPUMS,7-Jan-2005,2005,5.12,12.59,23.39,24.31,39.71,2.24,12.59,4.83,28.91,9.61,7.63,1.97,39.17,4.77,0.12,43.34,24.03,8.66,1.19
Cameroon,120,MICS,7-Jan-2006,2006,4.51,18.09,25.62,24.01,32.29,1.97,18.09,5.45,25.2,9.23,7.7,1.53,39.54,2.42,0.08,39.88,19.44,12.31,4.49
Cameroon,120,DHS,5-Feb-2011,2011,4.99,15.14,22.69,24.44,37.72,2.23,15.14,4.04,25.11,7.3,5.84,1.45,42.97,5.26,0.18,36.45,24.31,17.24,4.45
Cameroon,120,MICS,7-Jan-2014,2014,4.56,18.67,24.89,23.82,32.62,2.02,18.67,4.74,26.63,8.53,7.04,1.49,38.91,2.49,0.02,39.91,21.73,14.26,4.87
Cameroon,120,DHS,15/09/2018,2018,4.99,15.3,22.79,24.73,37.18,2.24,15.3,4.27,27.72,8.7,7.43,1.27,39.36,4.64,0.01,40.69,23.31,15.3,4.18
Canada,124,DYB,7-Jan-2001,2001,2.55,25.74,48.84,22.36,3.05,NA,25.74,25.17,33.36,10.24,NA,NA,NA,NA,5.48,68.77,NA,NA,NA
Canada,124,DYB,7-Jan-2006,2006,2.5,26.75,49.48,21.01,2.77,NA,26.75,25.11,29.62,8.96,NA,NA,NA,NA,9.57,63.68,NA,NA,NA
Canada,124,DYB,7-Jan-2011,2011,2.47,27.58,49.75,19.73,2.95,NA,27.58,25.48,27.6,8.96,NA,NA,NA,NA,10.39,62.04,NA,NA,NA
Canada,124,IPUMS,7-Jan-2011,2011,2.47,27.47,49.78,19.91,2.85,0.42,27.47,25.58,27.61,8.62,6.9,1.72,5.39,5.34,0.0,61.81,15.94,2.19,0.38
Canada,124,DYB,7-Jan-2016,2016,2.45,28.2,49.59,19.2,3.02,NA,28.2,25.8,26.51,8.85,NA,NA,NA,NA,10.65,61.16,NA,NA,NA
Cayman Islands,136,DYB,7-Jan-2010,2010,NA,32.57,45.71,17.72,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central African Republic,140,DHS,12-Aug-1994,1994,4.91,13.5,28.08,23.94,34.48,2.27,13.5,8.25,23.06,6.27,4.44,1.83,45.87,3.05,0.0,37.58,18.56,13.3,4.3
